Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 	botname
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1VeertjeBot
1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	28bot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3RRBot
1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	718 Bot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7SeriesBOT
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	A bot called Bob
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	A-lú-mih-bot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	A4bot
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	AAlertBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	ABot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AEBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AFCbot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AFD Bot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AGbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AHbot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AIDbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AMABot
0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	AMbot
1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AP.BOT
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	ARSBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	ASammourBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AVBOT
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AVdiscuBOT
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	AWeenieBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AZPR
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AZatBot~enwiki
1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	Abotzi
0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	AccReqBot
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	Acebot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AdambroBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Addbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Addihockey10 (automated)
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AddihockeyBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Adithyakbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Adlerbot
0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AdminStatsBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Admrbot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Adrián Neves Bot
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AfDBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AfDStatBot
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AfdlBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	Afkbot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AftabBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ahechtbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Aibot
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AilurophobiaBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AiuwBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AkhtaBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Aksibot
1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	Alaibot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AlaibotToo
0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	AlanBOT
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Albambot
1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Albotim
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Alch Bot
0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	Ale jrb bot
0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	AlexNewArtBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Alexbot
1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	Alirezabot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AllaSmackBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AlleborgoBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Almabot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AlnoktaBOT
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AloysiusLiliusBot
1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	Alph Bot
0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	Alphachimpbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AlptaBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AlptaSandboxBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AlyBot
0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	Amalthea (bot)
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AmeliorationBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AmigaBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Amirobot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Amolbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AmphBot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Analphabot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Anchor Link Bot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AndersBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Andrea105Bot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	AndreasJSbot
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Andrewbot
1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Android Mouse Bot
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Android Mouse Bot 2
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Android Mouse Bot 3
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Android Mouse Bot 4
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AndymwBot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AngBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AniBot
0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	Anibot
1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	AnkitAWB
1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	AnomieBOT
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	AnomieBOT II
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AnomieBOT III
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Anonymoususerdaily
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	AntiAbuseBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	AntiSpamBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	AntiVandalBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AntidereBot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Antime Bot I~enwiki
1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Antischmitzbot
0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Anybot
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	Aplikasi-Bot
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Apocatequil~enwiki
1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	Apostrobot
0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	ArbComBot
