botname	edit_catgory	Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 
WP 1.0 bot	over 1M	0	0	0	1	0	0	0	0	0
ClueBot NG	over 1M	1	0	0	0	0	0	0	1	1
Yobot	over 1M	1	0	1	0	0	0	0	0	0
AnomieBOT	over 1M	1	0	0	1	1	0	0	0	0
SmackBot	over 1M	1	0	1	1	0	0	0	0	0
InternetArchiveBot	over 1M	1	0	0	0	1	0	0	0	0
Addbot	over 1M	1	0	0	0	0	0	1	0	0
SineBot	over 1M	0	0	1	1	0	0	0	1	1
MediaWiki message delivery	over 1M	0	0	0	0	0	0	0	0	1
EmausBot	over 1M	1	0	0	1	0	0	1	0	0
Xqbot	over 1M	1	0	1	0	0	0	0	0	0
RjwilmsiBot	over 1M	1	1	1	0	0	0	0	0	0
ClueBot	over 1M	1	0	0	0	0	0	0	1	1
KasparBot	over 1M	1	0	1	1	0	0	0	0	0
AAlertBot	over 1M	0	0	0	1	1	0	0	0	1
RussBot	over 1M	0	1	1	0	0	0	0	0	0
COIBot	over 1M	0	0	0	0	0	0	0	1	1
InceptionBot	over 1M	0	0	0	0	0	0	0	0	0
KolbertBot	over 1M	1	0	0	0	0	0	0	0	0
Legobot	over 1M	1	0	0	0	0	0	1	0	0
AvicBot	over 1M	1	0	1	1	0	0	0	0	0
Lowercase sigmabot III	over 1M	0	0	0	1	0	0	0	0	0
Cyberbot I	over 1M	1	1	1	1	1	0	0	0	0
BG19bot	over 1M	0	0	1	0	0	0	0	0	0
BattyBot	100K ~ 1M	1	0	1	0	0	0	0	0	0
The Anomebot2	100K ~ 1M	1	0	1	0	0	0	0	0	0
SporkBot	100K ~ 1M	0	0	0	1	0	0	0	0	0
Fbot	100K ~ 1M	1	0	1	1	1	0	1	0	1
Luckas-bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
Bender the Bot	100K ~ 1M	1	0	0	0	0	0	0	0	0
FrescoBot	100K ~ 1M	1	0	1	0	0	0	1	0	0
JJMC89 bot	100K ~ 1M	1	0	0	0	1	0	1	0	0
Lightbot	100K ~ 1M	1	0	0	1	0	0	0	0	0
AlexNewArtBot	100K ~ 1M	0	0	0	0	1	0	0	0	0
GreenC bot	100K ~ 1M	1	0	0	0	0	0	0	0	0
DeltaQuadBot	100K ~ 1M	1	0	1	1	0	0	0	0	0
ClueBot III	100K ~ 1M	1	0	0	1	1	0	0	0	0
ZéroBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
OrphanBot	100K ~ 1M	1	0	0	0	0	0	0	1	1
XLinkBot	100K ~ 1M	1	0	0	0	0	0	0	1	0
MiszaBot III	100K ~ 1M	0	0	0	0	1	0	0	0	0
Helpful Pixie Bot	100K ~ 1M	1	0	1	0	0	0	0	0	0
TXiKiBoT	100K ~ 1M	1	0	0	0	0	0	1	0	0
VeblenBot	100K ~ 1M	1	0	0	0	0	0	0	0	1
ListasBot	100K ~ 1M	1	0	1	0	0	0	0	0	0
Thijs!bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
Cyberbot II	100K ~ 1M	0	0	1	0	0	0	0	0	0
DPL bot	100K ~ 1M	1	0	1	0	0	0	0	0	0
VolkovBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
Kingbotk	100K ~ 1M	0	0	1	0	0	0	0	0	0
Erik9bot	100K ~ 1M	0	0	0	0	0	0	0	0	0
Alaibot	100K ~ 1M	1	0	1	1	0	0	0	0	0
Citation bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
SieBot	100K ~ 1M	1	0	1	0	0	0	1	0	0
Reports bot	100K ~ 1M	0	0	0	1	0	0	0	0	0
Mathbot	100K ~ 1M	0	0	0	1	1	1	0	0	0
BOTijo	100K ~ 1M	0	1	0	0	1	0	0	0	0
HasteurBot	100K ~ 1M	0	0	1	1	0	0	0	0	1
TedderBot	100K ~ 1M	1	0	0	0	0	0	0	0	0
Xenobot Mk V	100K ~ 1M	0	0	1	0	0	0	1	0	0
D6	100K ~ 1M	1	0	0	0	0	0	0	0	0
BD2412bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
HBC AIV helperbot5	100K ~ 1M	0	0	1	1	0	0	0	1	1
Monkbot	100K ~ 1M	1	0	0	0	0	0	0	0	0
EdwardsBot	100K ~ 1M	0	0	0	1	0	0	0	0	0
BU RoBOT	100K ~ 1M	1	0	1	1	0	0	0	0	0
Bluebot	100K ~ 1M	1	0	0	1	0	0	1	1	0
CmdrObot	100K ~ 1M	1	0	1	0	0	0	0	0	0
RMCD bot	100K ~ 1M	1	0	0	1	0	0	0	0	1
ListeriaBot	100K ~ 1M	0	1	0	0	0	0	1	0	0
ImageRemovalBot	100K ~ 1M	1	0	0	0	0	0	0	0	0
Full-date unlinking bot	100K ~ 1M	1	0	0	0	0	0	0	0	0
DASHBot	100K ~ 1M	1	0	1	1	0	0	0	0	0
BotMultichill	100K ~ 1M	1	0	1	1	1	0	1	0	0
RonBot	100K ~ 1M	1	0	1	1	1	0	0	1	0
HostBot	100K ~ 1M	0	0	0	0	1	1	0	0	1
PrimeBOT	100K ~ 1M	1	0	0	0	0	0	0	0	0
YurikBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
VoABot II	100K ~ 1M	1	0	0	1	0	0	0	1	0
DatBot	100K ~ 1M	1	0	1	1	0	0	0	1	0
BJBot	100K ~ 1M	0	0	0	0	0	0	0	1	0
Magic links bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
MiszaBot II	100K ~ 1M	0	0	0	0	1	0	0	0	0
Eubot	100K ~ 1M	1	0	0	1	0	0	0	0	0
ArthurBot	100K ~ 1M	1	0	1	0	0	0	1	0	0
AntiVandalBot	100K ~ 1M	1	0	0	0	0	0	0	1	0
VIAFbot	100K ~ 1M	1	0	0	0	0	0	1	0	0
HBC AIV helperbot7	100K ~ 1M	1	0	0	1	0	0	0	1	0
B-bot	100K ~ 1M	0	0	1	0	0	0	0	0	1
JL-Bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
Escarbot	100K ~ 1M	1	0	0	0	0	0	1	0	0
CorenSearchBot	100K ~ 1M	1	0	1	0	0	0	0	0	0
SoxBot	100K ~ 1M	1	0	0	0	0	0	0	0	0
MiszaBot I	100K ~ 1M	1	0	0	0	0	0	0	0	0
MetsBot	100K ~ 1M	1	0	0	1	0	0	0	0	0
EarwigBot	100K ~ 1M	1	0	1	1	0	0	1	0	0
ImageTaggingBot	100K ~ 1M	0	0	1	0	0	0	0	0	1
FlaBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
RFC bot	100K ~ 1M	1	0	1	1	0	0	1	0	0
DumZiBoT	100K ~ 1M	1	0	0	1	0	0	1	0	0
DumbBOT	100K ~ 1M	1	0	1	1	0	0	0	0	0
Polbot	100K ~ 1M	1	0	1	1	0	0	0	0	0
Ops Monitor (WMF)	100K ~ 1M	1	0	0	1	0	0	0	0	0
STBotI	100K ~ 1M	0	0	1	0	0	0	0	0	0
Xenobot	100K ~ 1M	1	0	1	1	0	0	0	0	1
Alexbot	100K ~ 1M	1	0	0	0	0	0	1	0	0
KrimpBot	100K ~ 1M	0	0	1	0	0	0	0	0	0
MartinBot	100K ~ 1M	1	0	0	0	0	0	0	1	0
ProteinBoxBot	100K ~ 1M	1	1	0	0	0	0	0	0	0
Kbdankbot	100K ~ 1M	0	0	0	1	0	0	0	0	0
DeprecatedFixerBot	100K ~ 1M	1	0	0	0	0	0	0	0	0
MGA73bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
DYKUpdateBot	100K ~ 1M	1	0	1	0	1	0	0	0	0
MystBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
Amalthea (bot)	100K ~ 1M	0	0	1	1	1	0	0	0	0
Femto Bot	100K ~ 1M	1	1	0	1	0	0	0	0	0
BracketBot	100K ~ 1M	0	0	0	0	0	0	0	0	1
Dexbot	100K ~ 1M	1	0	0	0	0	0	0	0	0
Chobot	100K ~ 1M	1	0	0	0	0	0	1	0	0
YFdyh-bot	100K ~ 1M	1	0	0	0	0	0	1	0	0
HBC Archive Indexerbot	100K ~ 1M	0	0	0	0	1	0	0	0	0
Scsbot	100K ~ 1M	0	0	0	0	1	0	0	0	0
SuggestBot	100K ~ 1M	0	0	0	0	0	1	0	0	0
タチコマ robot	100K ~ 1M	1	0	0	0	0	0	1	0	0
Theo's Little Bot	100K ~ 1M	1	0	1	1	0	0	0	0	0
JAnDbot	100K ~ 1M	1	0	0	0	0	0	1	0	0
Kumi-Taskbot	100K ~ 1M	0	0	0	0	0	0	0	0	0
Kotbot	100K ~ 1M	1	1	0	0	0	0	0	0	0
Hazard-Bot	100K ~ 1M	1	0	1	0	0	0	0	0	0
DrilBot	100K ~ 1M	1	0	0	1	0	0	0	1	0
NihlusBOT	100K ~ 1M	0	0	0	1	1	0	1	0	0
GrouchoBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
WikitanvirBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
FairuseBot	100K ~ 1M	1	0	1	0	0	0	0	1	1
WildBot	100K ~ 1M	1	0	0	0	0	0	1	0	1
Zorrobot	100K ~ 1M	1	0	0	0	0	0	1	0	0
MenoBot	100K ~ 1M	1	0	0	0	0	0	1	0	0
CheMoBot	100K ~ 1M	1	0	0	0	0	0	0	0	1
HBC AIV helperbot3	100K ~ 1M	0	0	0	1	0	0	0	0	0
Rambot	100K ~ 1M	1	1	0	0	0	0	1	0	0
MartinBotIII	100K ~ 1M	1	0	1	1	1	0	0	0	0
