	Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 
action	0.010828380806369917	0.0	0.008129114603565388	0.007190677847706381	0.0007783879181249146	9.031090233603702e-05	0.009287871529505737	0.0024148396455291837	0.012495200719776821
add	0.0069530909929381894	0.007962318291513924	0.011169349134285808	0.005235379456837841	0.004310849207666997	0.004342969612617975	0.007371947266689832	0.009757277908004906	0.006348154292353003
added	0.003127187589868766	0.0001230831275149873	0.014961354884534109	0.005270372331338653	0.004654036887846049	0.0	0.01858205203842101	0.006093386906134914	0.0013719040912854865
adding	0.00866596363743085	0.0021144154952842985	0.014756856527510904	0.004322859178370724	0.01025926182720922	0.0025921294803339643	0.00746912503726397	0.00694629809536595	0.014258802100820606
align	0.005317542393121633	0.010363187565221973	0.0015949058891405964	0.011931567708030314	0.01935579557540693	0.02293656098403955	0.004745097705392125	0.012279058766192532	0.001836449814626967
archive	0.005350373413197103	0.0	0.002304796714588349	0.002229916577888566	0.005558227989884058	0.000132078108076955	0.0006414615353045183	0.014968878113283882	5.75039690868943e-05
arise	0.006262892301498638	0.007290347584597914	0.002505153509313925	0.0038189374008499553	0.005024678290800578	0.005262767633700998	0.0018830840636264023	0.0	0.0007536035307097367
assisted	0.00594571319888257	0.004993024133253581	0.0011101413387705325	0.00623239873912332	0.0031588646920168106	0.009383042473597985	0.00964220552865917	0.0	0.0037762305848714414
avoid	0.007962543132862251	0.0	0.004623224665611025	0.0025143622670380987	0.0076732875933560206	0.0007616936339991477	0.012157564731223921	0.0026689595267981457	0.004133471350794693
based	0.0033256776762650223	0.0036868712607326997	0.006393951058847473	0.010165825478249593	0.0032291470740056956	0.016576015818464976	0.008898613777071624	0.005606949902062222	0.010293904064232773
blocked	0.010000197925714004	0.0037828450619148317	0.002812522087984063	0.001775577370249653	0.008098404384213526	0.02379136409346746	0.005692068004160654	0.01199691407648341	0.007689199438790444
boilerplate	0.0009441549295986529	0.011923572434195784	0.0	0.00220649785902696	0.0	0.0	0.002231422882919054	0.012561079986343465	0.0030416756114239707
break	0.0021145507579535825	0.001775507773959789	0.001669152300151014	0.0024596996704759014	0.005791161981514806	0.0009010989010982972	0.000547531305425242	0.00010203593504016172	0.0
caps	0.005197155664558036	0.0055162153308582615	0.011256473992913876	0.0037313501248687534	0.0021626021695744487	0.03180218679851008	0.0043549421466246505	0.0022128320170784342	0.009326833822304629
center	0.007102289711449795	0.0009929929180337832	0.00520225758730694	0.005750371212857416	0.000424024996415428	0.07190677463223201	0.0035566204446578985	0.010301119086237428	0.0011568318995450176
change	0.0015508333391092764	0.0	0.007683735791553692	0.0050916386419600935	0.007260137960978466	9.42099594851446e-06	0.006188790037546824	0.0016691098081023446	0.003707269855979038
check	0.010170201493673887	0.005192206923856147	0.011067538527362142	0.0069528600119260296	0.005112837914795589	0.00409620448202503	0.006429975100754848	0.0	0.006175637853904842
checking	0.006534398667627954	0.0027840272691126594	0.0018889666506793378	0.0030660260815297095	0.011068315938809003	0.0005397586495016098	0.001090742837237656	0.011158916975557893	0.0019159743271327967
